id,A,B,C,budget,history,age
1,50,21,27,32094,C,52
2,46,3,46,17268,A,36
3,13,22,30,14423,C,52
4,13,4,38,31062,A,47
5,48,7,20,24406,C,22
6,46,4,33,9148,C,36
7,10,50,22,5520,C,21
8,47,47,14,25412,B,54
9,29,16,33,41815,B,26
10,28,8,45,43454,A,16
11,31,15,37,25952,C,35
12,22,29,36,17822,C,22
13,16,9,31,20380,C,57
14,25,15,28,33167,C,60
15,44,10,5,42310,A,34
16,25,7,12,24563,A,55
17,30,28,8,13238,B,41
18,19,12,30,39141,A,48
19,6,19,22,28490,B,37
20,28,50,25,13913,A,18
21,49,8,35,6741,B,22
22,19,29,46,30244,C,57
23,45,26,36,3227,C,19
24,16,1,1,15393,C,23
25,44,5,4,15812,A,44
26,41,10,39,3966,C,47
27,26,26,19,41688,A,35
28,39,26,18,34263,C,16
29,6,37,25,29265,B,43
30,28,35,8,36536,B,50
31,39,49,35,23065,B,42
32,6,29,10,46813,B,56
33,42,34,12,48618,C,17
34,17,20,36,8166,C,33
35,41,31,14,22928,C,48
36,25,12,38,29364,A,33
37,16,26,11,12551,A,43
38,18,34,24,7574,A,45
39,9,34,21,5705,B,16
40,23,42,44,13826,C,50
41,37,40,5,10618,B,47
42,26,32,35,6348,A,49
43,13,35,10,18797,A,59
44,36,16,5,7065,C,27
45,15,50,1,24102,A,41
46,17,48,14,6880,C,38
47,5,18,44,31552,A,29
48,50,25,28,8678,B,36
49,36,9,39,11984,C,60
50,48,33,8,10238,C,27
51,17,50,33,42915,B,53
52,49,36,8,43978,A,16
53,14,23,13,49322,C,56
54,4,6,28,32189,A,16
55,4,47,42,28961,B,37
56,38,28,13,3005,B,44
57,35,42,12,11259,C,19
58,7,26,15,18563,A,56
59,15,46,30,37705,A,39
60,36,19,49,9753,C,55
61,30,45,20,7835,B,33
62,29,28,14,46478,A,23
63,29,31,13,27988,C,52
64,15,22,12,6595,C,25
65,19,36,40,28775,B,20
66,37,25,45,48149,C,22
67,20,26,22,14852,A,56
68,33,25,17,34879,A,23
69,10,43,16,35266,A,25
70,23,43,46,14914,C,22
71,39,3,48,6502,A,54
72,10,6,28,15068,B,24
73,24,31,25,30082,A,34
74,10,16,45,24084,B,50
75,13,44,43,32457,C,51
76,2,8,29,26065,B,20
77,22,19,6,13638,C,58
78,4,7,20,3110,B,21
79,33,35,19,18523,B,48
80,15,41,27,35118,B,18
81,37,20,27,44653,A,41
82,16,32,21,28228,B,23
83,18,2,5,27920,B,33
84,5,36,31,34314,B,29
85,27,12,29,20549,A,23
86,26,25,4,36469,C,17
87,23,28,11,34508,B,32
88,32,47,16,35921,A,35
89,10,35,29,37232,B,36
90,15,33,25,19655,C,27
91,26,15,42,12145,B,24
92,33,34,42,44153,B,48
93,22,26,16,43062,A,54
94,6,10,25,15421,A,42
95,44,49,6,43887,B,17
96,6,47,38,49783,B,35
97,28,5,44,46471,A,57
98,37,28,8,9756,A,52
99,43,13,9,47242,C,17
100,50,34,46,37997,A,27
101,9,44,10,31390,A,51
102,16,42,39,43076,C,46
103,43,20,50,33302,B,47
104,27,2,21,31352,C,24
105,11,21,49,47146,A,43
106,2,48,23,42049,A,22
107,13,5,17,12848,C,45
108,45,35,13,16986,C,58
109,13,29,43,23472,C,31
110,18,38,48,11499,A,60
111,38,44,21,14083,B,45
112,12,39,49,19171,A,44
113,9,43,41,12843,B,19
114,36,44,33,49663,A,36
115,19,25,48,5032,B,26
116,9,26,27,6298,B,22
117,16,1,33,33368,C,53
118,37,21,30,38292,A,40
119,26,17,13,33949,A,43
120,40,1,16,47199,B,52
121,3,37,44,49275,C,39
122,12,33,31,17407,C,18
123,20,29,36,31201,A,40
124,27,14,41,20621,C,44
125,49,49,7,6134,B,55
126,44,7,45,9608,C,22
127,23,22,26,36752,B,50
128,28,44,1,49777,B,46
129,14,20,48,11442,A,53
130,44,37,34,26841,B,17
131,28,16,3,34771,B,26
132,35,28,46,16083,C,25
133,4,2,4,21648,C,25
134,30,34,32,4631,B,40
135,24,16,37,20447,B,60
136,14,1,16,9296,B,40
137,43,7,18,35078,A,25
138,34,9,47,44421,A,49
139,7,3,28,10052,C,56
140,28,2,15,25641,C,23
141,49,32,5,33016,A,32
142,21,16,29,21660,C,50
143,11,47,36,29306,B,35
144,20,3,33,15142,B,53
145,6,14,23,48602,B,16
146,47,21,44,4067,C,57
147,20,25,6,13953,A,31
148,43,48,14,10908,B,53
149,41,16,7,10566,B,18
150,31,11,33,3403,A,37
151,32,36,47,7884,A,33
152,50,30,10,27043,B,43
153,32,11,13,19828,C,53
154,19,31,28,22889,C,36
155,48,17,46,41575,B,31
156,15,47,48,30324,A,19
157,34,4,10,47422,B,26
158,29,13,6,41809,A,41
159,25,21,44,36803,C,50
160,14,34,34,12422,C,42
161,48,31,32,30709,C,43
162,15,6,1,15453,B,16
163,18,34,12,42164,B,47
164,43,34,3,28507,C,38
165,42,3,48,22763,A,42
166,17,6,44,18225,A,42
167,32,3,1,31671,B,47
168,49,44,44,30180,C,33
169,16,13,26,30651,A,28
170,50,5,46,32636,A,60
171,4,31,23,41328,A,57
172,3,2,31,34564,C,45
173,48,49,23,31383,C,37
174,43,9,1,42096,A,52
175,47,7,42,18231,A,32
176,50,49,31,40881,C,47
177,2,1,6,23144,B,16
178,29,19,33,40284,C,31
179,28,28,26,9563,A,60
180,11,19,20,44820,C,36
181,25,6,17,45511,A,35
182,13,42,9,10621,A,44
183,47,4,1,25228,B,38
184,41,37,3,18581,A,43
185,8,22,32,38982,B,27
186,6,4,16,15231,B,51
187,14,1,24,22064,A,19
188,9,50,32,25989,A,57
189,1,37,16,4057,C,44
190,45,31,23,17417,C,46
191,22,43,44,40624,B,56
192,45,11,5,14184,A,32
